brand,total_conversations,resolved_conversations,resolution_rate_pct,avg_turns,avg_customer_msg_len,avg_brand_reply_len,brand_score
AmazonHelp,2974,2974,100.0,5.08,130.5,130.9,1415.78
AppleSupport,2050,2050,100.0,3.27,124.3,140.7,1048.15
Uber_Support,1423,1423,100.0,3.32,132.7,111.3,791.46
comcastcares,782,782,100.0,2.95,122.1,133.1,539.42
SpotifyCares,779,779,100.0,3.64,117.9,134.5,538.51
ChipotleTweets,720,720,100.0,2.59,96.8,63.5,500.71
AmericanAir,652,652,100.0,3.23,134.6,101.9,481.18
Tesco,648,648,100.0,4.52,135.9,146.5,488.51
British_Airways,599,599,100.0,4.09,143.2,133.0,466.2
Delta,596,596,100.0,3.55,123.8,102.8,458.97
SouthwestAir,574,574,100.0,2.77,117.9,113.2,452.24
UPSHelp,552,552,100.0,2.75,146.6,151.7,451.14
hulu_support,550,550,100.0,3.12,108.8,143.2,448.64
sainsburys,530,530,100.0,4.34,140.1,119.1,435.81
TMobileHelp,522,522,100.0,3.5,122.3,129.1,434.62
VirginTrains,500,500,100.0,4.48,134.7,88.8,417.75
Ask_Spectrum,456,456,100.0,3.67,116.9,139.1,410.21
GWRHelp,442,442,100.0,4.46,131.8,116.2,400.04
ArgosHelpers,418,418,100.0,4.0,137.4,105.9,388.39
AskTarget,414,414,100.0,2.86,129.1,162.3,398.05
O2,414,414,100.0,4.49,125.8,117.5,389.11
XboxSupport,394,394,100.0,4.3,129.1,119.0,381.4
sprintcare,381,381,100.0,4.05,115.1,118.9,376.19
ATVIAssist,363,363,100.0,3.77,114.3,108.1,366.81
AskPlayStation,361,361,100.0,3.64,125.5,101.7,364.74
marksandspencer,315,315,100.0,3.52,141.8,120.6,350.12
Safaricom_Care,308,308,100.0,3.54,107.8,82.2,339.64
idea_cares,296,296,100.0,5.55,133.2,139.7,346.34
AskPayPal,288,288,100.0,2.72,124.0,140.7,343.33
AirAsiaSupport,261,261,100.0,4.74,119.6,104.0,325.21
MicrosoftHelps,260,260,100.0,5.43,133.2,139.1,331.82
VerizonSupport,257,257,100.0,5.45,122.4,87.1,320.23
BofA_Help,247,247,100.0,3.71,109.0,107.6,320.32
Morrisons,237,237,100.0,3.87,132.5,104.3,315.65
SW_Help,235,235,100.0,4.36,125.5,114.3,316.85
AskLyft,232,232,100.0,2.62,114.4,122.4,317.29
AldiUK,204,204,100.0,2.7,120.5,105.6,302.73
AskeBay,199,199,100.0,4.45,138.0,151.7,309.94
AdobeCare,195,195,100.0,4.86,136.0,128.0,303.61
Ask_WellsFargo,195,195,100.0,2.76,104.0,159.2,309.84
ChaseSupport,182,182,100.0,2.78,115.8,135.4,299.87
GreggsOfficial,173,173,100.0,3.43,121.8,65.5,282.31
HPSupport,152,152,100.0,3.05,116.6,143.3,289.46
AlaskaAir,150,150,100.0,2.95,122.3,94.1,278.82
GloCare,142,142,100.0,5.8,117.1,99.7,276.73
Walmart,142,142,100.0,2.41,109.9,86.6,274.11
CoxHelp,141,141,100.0,4.06,117.0,120.0,280.4
JetBlue,138,138,100.0,3.13,123.5,107.9,276.78
AirbnbHelp,137,137,100.0,3.38,138.2,147.5,284.31
LondonMidland,134,134,100.0,4.1,132.5,130.4,279.67
AskAmex,129,129,100.0,4.63,115.3,99.3,271.46
AskCiti,129,129,100.0,3.03,134.7,190.3,289.65
AzureSupport,116,116,100.0,5.01,128.5,95.4,265.47
TacoBellTeam,106,106,100.0,2.84,107.0,49.8,252.35
VirginAtlantic,106,106,100.0,4.25,128.1,98.0,262.0
ArbysCares,104,104,100.0,2.54,106.7,95.7,260.74
DropboxSupport,96,96,100.0,5.0,138.6,175.9,273.57
TfL,92,92,100.0,2.9,135.6,130.2,262.85
CenturyLinkHelp,91,91,100.0,2.84,113.4,114.2,259.24
airtel_care,88,88,100.0,5.64,122.4,111.6,257.53
DellCares,84,84,100.0,4.26,167.9,163.7,266.35
AskPapaJohns,78,78,100.0,2.96,115.3,94.5,250.09
nationalrailenq,74,74,100.0,4.11,120.2,101.5,249.9
Postmates_Help,61,61,100.0,2.43,119.0,73.3,239.07
KFC_UKI_Help,57,57,100.0,2.25,134.3,97.1,242.22
SCsupport,50,50,100.0,2.52,103.9,72.8,234.56
askpanera,49,49,100.0,2.33,112.8,115.4,242.68
IHGService,47,47,100.0,2.87,144.6,212.8,261.36
NikeSupport,46,46,100.0,5.72,126.3,109.5,240.31
DunkinDonuts,45,45,100.0,2.27,131.5,90.0,236.0
McDonalds,44,44,100.0,2.18,63.4,84.5,234.49
MTNC_Care,43,43,100.0,3.65,127.5,100.5,237.3
ATT,41,41,100.0,3.59,134.6,174.0,251.2
DoorDash_Help,40,40,100.0,2.8,110.9,120.8,240.16
VirginAmerica,40,40,100.0,3.48,128.5,89.1,233.81
AsurionCares,33,33,100.0,3.76,128.2,110.3,235.26
GoDaddyHelp,32,32,100.0,3.09,138.3,130.5,238.9
sizehelpteam,29,29,100.0,2.83,83.8,82.4,228.08
AWSSupport,27,27,100.0,2.44,127.3,143.3,239.46
NortonSupport,26,26,100.0,6.62,100.7,102.5,230.9
PandoraSupport,24,24,100.0,2.67,118.7,124.6,234.52
Kimpton,23,23,100.0,2.7,112.2,115.1,232.21
TwitterSupport,21,21,100.0,3.52,74.2,123.9,233.18
AskRBC,18,18,100.0,2.61,126.0,177.3,242.67
asksalesforce,15,15,100.0,3.4,111.7,86.4,223.28
AskVirginMoney,15,15,100.0,4.2,127.6,108.9,227.77
HiltonHelp,14,14,100.0,2.21,116.0,119.6,229.53
VMUcare,12,12,100.0,6.08,120.0,87.0,222.2
YahooCare,11,11,100.0,4.73,129.2,100.4,224.47
USCellularCares,11,11,100.0,5.73,92.7,121.4,228.67
askvisa,10,10,100.0,2.7,160.4,185.1,241.02
BoostCare,10,10,100.0,3.4,117.0,112.4,226.48
MOO,9,9,100.0,2.56,119.0,80.8,219.76
AskTigogh,9,9,100.0,5.56,92.7,105.6,224.72
NeweggService,8,8,100.0,2.12,104.6,102.9,223.77
PearsonSupport,8,8,100.0,3.62,123.6,179.0,239.0
GooglePlayMusic,8,8,100.0,5.62,136.5,134.4,230.08
ask_progressive,8,8,100.0,3.25,199.8,201.5,243.5
AskSeagate,7,7,100.0,4.14,139.3,176.4,238.09
mediatemplehelp,6,6,100.0,4.17,130.7,173.5,237.09
AskDSC,4,4,100.0,2.0,97.2,92.2,220.05
OPPOCareIN,3,3,100.0,4.67,132.7,180.5,237.3
JackBox,1,1,100.0,2.0,138.0,9.0,202.2
OfficeSupport,1,1,100.0,6.0,131.0,117.5,223.9
AskRobinhood,1,1,100.0,3.0,132.0,135.0,227.4
